account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,number_customer_service_calls,payment_delay
142,no,yes,30,154.0,75,165.8,97,270.0,83,10.8,5,1,no
91,no,yes,39,160.8,97,119.3,54,147.9,101,10.3,3,3,no
110,no,no,0,175.6,91,236.5,127,194.9,114,9.5,8,0,no
122,no,no,0,93.3,109,214.4,104,176.7,104,12.1,2,0,no
95,no,no,0,198.4,113,235.9,144,325.6,99,10.1,3,0,no
74,no,no,0,162.7,102,292.0,105,183.3,80,8.7,6,0,no
149,no,no,0,217.7,91,273.5,74,226.9,99,9.6,3,3,no
98,no,no,0,136.1,82,156.3,118,158.8,83,10.1,5,2,no
125,no,no,0,191.6,115,205.6,108,210.2,123,9.2,3,2,no
140,no,no,0,194.8,107,170.9,99,225.1,93,13.9,4,0,no
69,no,no,0,244.8,76,77.2,100,222.8,102,10.0,3,0,no
149,no,yes,20,147.8,132,276.8,94,149.9,110,10.2,6,0,no
67,no,no,0,284.5,104,88.6,71,171.4,93,12.5,4,1,no
160,no,no,0,171.2,103,243.5,121,178.2,92,13.0,3,2,no
95,no,no,0,149.2,96,260.7,116,201.0,120,8.1,2,1,no
25,no,no,0,114.4,114,201.1,97,238.4,121,11.6,4,3,no
102,no,yes,25,137.4,100,176.7,83,188.2,93,10.2,6,2,no
150,no,yes,29,209.9,77,158.0,52,141.9,113,6.6,1,0,no
113,no,no,0,158.4,107,142.2,104,174.7,108,14.9,2,0,no
81,no,no,0,176.1,113,162.0,80,160.9,83,11.9,4,1,no
101,no,no,0,269.7,85,207.6,86,214.2,107,4.5,15,3,yes
196,no,no,0,133.1,80,206.5,120,221.6,96,10.3,8,1,no
135,no,no,0,247.2,61,168.7,122,169.8,100,6.6,1,0,no
85,no,no,0,201.4,52,229.4,104,252.5,106,12.0,3,1,no
96,no,yes,23,183.1,88,147.4,89,350.2,108,11.3,7,1,no
73,no,yes,26,131.2,98,106.5,97,221.7,96,10.2,6,2,no
137,yes,no,0,258.0,112,246.5,117,173.2,100,10.9,3,0,yes
101,no,yes,21,238.0,88,209.6,84,233.0,95,10.0,5,2,no
131,no,no,0,55.5,79,163.5,104,128.1,59,10.1,4,1,no
68,no,no,0,249.9,127,254.5,118,273.2,98,8.9,6,2,yes
69,no,yes,37,155.0,98,142.4,105,143.7,117,5.9,4,1,no
151,no,yes,27,154.4,141,210.6,109,167.9,109,7.8,3,3,no
87,no,no,0,176.6,83,221.6,101,185.3,89,9.4,1,0,no
104,no,no,0,156.2,93,193.0,54,222.7,94,13.1,5,1,no
61,no,yes,31,288.7,101,203.8,102,203.2,49,8.6,3,0,no
90,no,no,0,190.0,98,196.1,111,216.4,58,8.0,6,2,no
79,no,no,0,144.0,90,135.8,91,212.4,129,13.0,4,1,no
70,no,no,0,156.6,82,193.1,112,179.8,108,12.6,1,1,no
144,yes,no,0,203.5,100,247.6,103,194.3,94,11.9,11,0,no
65,no,yes,31,282.3,70,152.0,89,225.5,93,12.0,4,1,no
162,no,yes,33,184.5,139,183.2,78,127.4,106,12.3,6,0,no
85,no,yes,17,89.8,88,233.2,75,165.7,116,9.3,7,4,yes
155,no,no,0,281.6,103,152.7,82,196.8,86,7.4,3,2,no
101,no,yes,24,240.5,103,280.5,78,212.8,69,10.4,5,2,no
47,no,no,0,155.3,116,188.2,85,247.0,73,12.3,4,3,no
192,no,no,0,185.0,88,224.9,98,212.4,105,11.4,3,2,no
151,no,no,0,175.3,106,144.3,87,160.2,88,11.8,5,0,no
80,no,no,0,199.8,138,167.1,91,271.8,94,5.5,4,1,no
100,no,no,0,264.5,117,194.0,111,262.7,111,7.5,4,2,yes
107,no,yes,31,160.3,45,221.5,70,261.6,109,5.6,1,1,no
156,no,no,0,174.5,65,197.4,116,238.5,86,10.6,2,0,no
115,no,no,0,146.7,128,106.2,74,197.7,104,11.1,4,2,no
64,no,no,0,160.6,110,171.9,97,105.2,56,7.3,2,0,yes
93,no,no,0,172.3,135,318.7,95,131.5,104,11.5,4,3,no
79,yes,no,0,103.5,134,319.3,111,239.9,124,8.4,4,2,no
62,no,no,0,245.3,91,122.9,130,228.4,102,8.5,4,4,no
93,yes,no,0,172.4,133,205.6,77,245.8,126,9.1,9,1,no
86,no,yes,31,167.6,139,113.0,118,246.9,121,12.2,6,1,no
69,no,no,0,194.2,122,242.1,81,215.8,80,9.7,3,2,no
89,no,no,0,86.0,105,215.5,102,185.7,83,8.2,3,3,no
109,yes,no,0,159.6,136,151.0,126,142.1,53,7.3,4,4,yes
185,yes,yes,30,154.1,114,118.7,106,258.4,105,12.9,3,2,no
67,no,no,0,310.4,97,66.5,123,246.5,99,9.2,10,4,no
92,no,no,0,265.6,82,180.7,75,211.1,113,8.6,2,1,no
86,no,no,0,223.9,75,155.7,109,150.2,143,7.3,9,1,no
107,no,no,0,133.8,85,180.5,94,112.2,115,8.9,4,0,no
70,no,no,0,7.9,100,136.4,83,156.6,89,12.1,1,0,no
202,no,no,0,168.9,88,235.8,98,273.2,108,14.6,3,3,no
60,no,no,0,193.9,118,85.0,110,210.1,134,13.2,8,3,no
97,no,no,0,144.2,91,226.7,137,144.6,72,13.8,4,3,no
108,no,no,0,239.3,102,223.4,127,251.4,104,10.6,6,0,no
142,no,yes,38,231.2,125,174.8,121,171.2,87,12.4,2,4,no
74,no,yes,33,193.7,91,246.1,96,138.0,92,14.6,3,2,no
105,yes,no,0,273.9,119,278.6,103,255.3,90,10.9,7,1,yes
89,no,no,0,129.2,71,214.1,68,214.9,100,10.3,4,5,yes
109,no,no,0,101.8,105,348.9,107,233.2,150,7.5,5,1,no
82,no,no,0,217.6,82,169.4,101,248.9,124,12.7,3,0,no
158,no,no,0,222.8,101,203.0,128,210.6,106,6.9,2,2,no
22,no,yes,29,151.2,147,203.2,135,296.1,98,11.1,2,2,no
101,no,yes,42,209.2,82,159.7,74,181.6,100,9.5,3,0,no
85,no,yes,30,173.1,107,247.2,101,158.7,104,11.5,5,1,no
135,yes,no,0,186.0,107,66.0,94,213.1,105,12.9,4,1,no
62,no,no,0,98.9,103,135.4,122,236.6,82,12.2,1,1,no
169,no,no,0,240.7,119,141.1,102,120.6,56,7.7,2,2,no
94,no,no,0,245.0,112,180.4,91,262.9,105,9.7,6,1,no
197,no,no,0,154.8,111,171.5,102,227.3,86,10.6,2,3,no
71,no,no,0,243.7,124,60.0,90,189.0,129,11.3,2,0,no
72,no,no,0,177.1,97,184.7,105,174.1,94,8.0,6,1,no
56,no,no,0,121.6,84,165.3,115,243.9,95,8.9,2,1,no
127,no,yes,25,173.0,91,245.8,64,300.0,99,4.8,3,0,no
83,no,no,0,231.3,100,210.4,84,217.4,106,12.4,2,3,no
92,no,yes,31,172.3,116,266.2,91,228.2,90,11.8,5,1,no
100,no,yes,38,224.7,121,294.0,131,290.0,61,9.8,6,0,no
131,no,no,0,227.7,134,162.7,88,279.4,90,8.9,7,4,no
21,no,yes,19,132.7,94,204.6,101,154.7,78,12.9,7,3,no
155,no,no,0,163.0,93,203.9,102,159.0,109,15.1,4,2,no
98,no,no,0,288.1,101,137.9,93,206.5,88,0.0,0,0,no
52,no,no,0,209.8,114,171.3,82,154.6,119,9.9,9,4,no
67,yes,yes,35,181.1,59,215.9,116,216.3,106,16.9,4,0,yes
101,no,yes,17,193.9,71,189.8,81,196.3,97,12.6,7,0,no
166,yes,no,0,191.3,120,167.3,88,162.9,110,10.2,2,2,yes
40,no,yes,31,224.7,69,134.5,81,120.3,104,7.5,5,1,yes
23,no,no,0,113.1,74,168.8,95,262.9,126,6.9,2,1,yes
130,no,no,0,162.8,113,290.3,111,114.9,140,7.2,3,1,no
120,no,yes,23,221.9,114,254.7,84,250.5,117,7.2,5,2,no
143,no,no,0,194.3,99,123.6,133,229.5,99,10.2,2,2,no
135,no,no,0,190.9,44,161.4,109,231.9,100,8.4,2,1,no
78,no,yes,21,160.6,85,223.1,79,124.0,92,9.5,1,2,no
13,no,no,0,220.4,100,211.2,79,259.3,112,13.6,8,2,no
74,no,no,0,124.0,102,262.1,101,268.2,98,11.7,2,2,no
87,no,no,0,240.0,83,134.1,106,189.1,84,9.3,2,0,yes
183,no,no,0,190.0,100,246.6,78,304.2,107,9.5,4,1,no
155,no,no,0,184.6,102,196.0,117,226.5,122,7.8,1,1,no
136,no,no,0,92.4,109,219.0,115,212.6,80,12.9,4,2,no
42,no,yes,21,125.5,67,166.7,90,227.1,97,11.0,1,2,no
91,no,no,0,203.1,106,210.1,113,195.6,129,12.0,3,3,no
19,no,yes,29,142.7,94,129.9,60,165.3,65,10.0,4,0,no
152,yes,yes,20,237.5,120,253.4,94,265.2,80,14.2,3,9,yes
127,yes,yes,28,95.9,117,159.5,131,152.8,132,10.4,3,1,no
66,no,no,0,146.4,107,196.5,99,230.1,106,7.8,2,1,no
147,no,no,0,212.8,79,204.1,91,156.2,113,10.2,2,1,no
52,no,yes,31,122.2,88,139.0,100,141.9,141,5.7,10,3,no
42,no,no,0,303.9,106,232.2,54,147.1,76,5.8,3,1,yes
154,no,yes,32,192.3,82,165.3,134,205.0,74,9.0,1,2,no
49,yes,yes,32,176.9,118,227.0,121,204.4,115,15.1,3,3,yes
141,no,yes,36,187.5,99,241.4,116,229.5,105,10.5,5,3,no
36,yes,no,0,245.0,119,195.5,91,165.7,87,7.8,7,1,no
48,no,no,0,275.2,67,180.2,108,159.0,110,7.9,2,1,no
82,no,no,0,121.6,81,191.3,109,231.4,81,8.6,5,3,no
30,no,no,0,137.6,108,162.0,80,187.7,126,5.8,10,3,no
103,no,no,0,190.9,62,226.6,53,230.1,96,7.8,3,2,no
64,no,no,0,219.6,126,303.3,100,154.5,65,9.7,5,1,no
82,no,yes,33,137.8,95,235.5,128,268.1,70,11.0,6,2,no
84,no,no,0,86.0,83,260.7,86,98.6,109,8.9,4,1,no
13,no,no,0,146.4,74,148.5,92,216.7,96,11.3,3,1,no
137,no,no,0,151.8,90,229.6,68,171.8,122,10.8,5,2,no
67,no,no,0,210.7,116,219.2,86,179.7,83,7.2,6,1,no
63,yes,yes,21,151.5,99,147.8,89,210.4,114,10.0,4,1,no
105,no,no,0,160.3,86,195.2,80,163.3,109,12.7,3,2,no
110,no,no,0,129.5,94,92.6,96,154.3,110,9.9,5,3,no
56,no,no,0,150.9,79,161.8,87,167.7,115,11.7,5,3,no
118,no,no,0,154.8,71,244.0,73,159.6,81,12.8,4,0,no
12,no,no,0,249.6,118,252.4,119,280.2,90,11.8,3,1,yes
144,no,no,0,139.6,96,124.2,93,95.6,75,15.0,4,2,no
105,no,yes,24,274.7,99,193.5,118,299.6,109,10.8,3,3,no
121,no,no,0,181.5,121,218.4,98,161.6,103,8.5,5,1,no
111,no,no,0,162.1,98,217.6,87,264.1,107,7.7,1,0,no
136,no,yes,24,243.3,107,226.8,111,138.5,117,11.0,4,4,no
156,no,no,0,150.5,106,152.9,112,215.9,86,3.5,3,1,no
27,no,no,0,193.8,102,118.9,104,135.9,124,9.2,3,0,no
80,no,no,0,51.5,90,164.0,98,169.4,80,9.5,4,3,no
90,yes,no,0,148.2,96,220.4,111,134.2,97,9.2,1,4,yes
84,no,no,0,181.5,129,130.7,112,186.5,118,8.5,4,1,no
107,no,no,0,189.7,76,156.1,65,244.0,91,8.3,3,5,no
123,no,no,0,257.9,92,211.6,71,189.3,104,9.4,2,2,no
148,yes,no,0,136.8,112,197.5,134,93.2,90,10.3,5,2,no
126,no,no,0,284.0,92,199.7,78,203.4,141,6.6,2,1,yes
141,no,no,0,83.2,74,190.6,104,150.5,79,10.7,7,1,no
103,no,no,0,150.6,125,169.1,126,221.2,104,10.4,8,8,yes
173,no,no,0,291.8,143,214.3,134,151.2,119,9.9,2,0,yes
135,no,no,0,204.1,116,150.2,74,108.1,154,8.1,1,2,no
135,yes,no,0,177.2,151,209.3,83,236.3,114,11.1,5,2,no
87,no,no,0,238.0,97,164.5,97,282.5,132,10.6,6,2,no
124,no,no,0,169.3,108,178.6,91,242.3,82,12.2,3,1,no
74,no,no,0,85.7,83,247.7,67,142.4,85,10.1,5,2,no
117,no,no,0,189.8,122,235.6,94,270.8,120,12.7,2,1,no
102,no,no,0,158.0,94,207.9,100,190.4,120,10.1,10,0,no
65,no,no,0,183.4,63,183.6,80,153.5,83,10.7,4,4,yes
95,yes,no,0,228.9,134,255.7,71,208.0,120,10.1,2,4,yes
194,no,no,0,162.3,88,213.7,118,192.1,81,10.9,2,0,no
120,no,yes,33,299.5,83,163.4,84,146.7,88,11.6,5,0,no
78,no,no,0,225.1,67,199.2,127,175.5,102,14.6,2,0,no
99,no,no,0,169.2,70,271.5,77,170.2,104,10.6,2,0,no
94,no,no,0,234.4,103,279.3,109,234.2,121,2.0,2,1,yes
52,no,no,0,288.2,108,129.6,136,229.6,73,9.6,5,4,no
117,no,yes,20,205.7,98,136.1,107,159.4,147,8.7,3,2,no
92,no,no,0,91.7,90,193.7,123,175.0,86,9.2,4,2,no
141,no,no,0,208.5,129,190.3,86,144.7,93,12.0,9,1,no
141,no,no,0,138.2,94,176.4,84,182.9,110,11.1,6,3,no
171,no,no,0,270.5,69,230.0,112,136.0,111,9.6,5,1,yes
45,yes,yes,40,179.0,114,272.6,99,67.1,80,10.8,3,3,no
66,no,no,0,116.4,98,95.6,74,181.5,94,10.5,3,3,no
86,no,yes,38,123.0,158,133.9,119,138.2,103,13.3,4,1,no
174,no,no,0,178.0,49,141.5,83,265.1,114,6.2,5,3,no
78,no,no,0,254.1,112,215.9,80,267.1,124,16.3,3,0,yes
94,no,yes,38,220.0,102,180.3,119,136.2,90,10.3,2,1,no
44,no,yes,34,221.8,105,161.7,85,227.7,62,14.0,7,0,no
39,no,no,0,154.1,104,204.2,112,196.2,92,9.8,4,2,no
66,no,yes,16,174.7,92,232.1,105,305.4,98,8.9,2,1,no
80,no,no,0,149.8,123,276.3,75,241.4,75,10.9,7,2,no
80,no,no,0,157.0,101,208.8,127,113.3,109,16.2,2,2,no
96,no,yes,26,145.8,108,192.2,89,165.1,96,9.9,2,1,no
63,no,no,0,147.8,95,201.4,72,154.9,118,8.6,8,1,no
63,no,no,0,117.1,118,249.6,90,162.2,84,11.1,4,3,no
90,no,no,0,203.4,146,226.7,117,152.4,105,7.3,4,1,no
81,no,yes,17,145.7,89,202.9,70,212.4,92,9.5,5,1,no
110,no,no,0,131.9,93,272.7,106,192.8,105,7.1,4,1,no
136,no,no,0,259.4,99,172.7,125,293.7,78,10.7,6,1,yes
31,no,no,0,229.1,120,172.4,79,243.6,102,11.0,4,3,no
138,no,yes,28,151.0,59,269.5,122,179.4,116,8.9,9,0,no
49,no,no,0,171.5,86,188.8,85,155.1,82,8.5,2,2,no
120,no,no,0,216.5,113,251.8,91,164.5,125,7.3,1,3,no
114,no,no,0,209.2,127,165.3,93,196.8,98,10.6,8,3,no
123,yes,no,0,125.5,106,128.9,96,251.9,129,6.3,6,4,yes
119,no,no,0,215.1,105,249.4,104,249.9,83,10.8,8,2,no
119,no,yes,27,220.1,128,268.2,133,146.5,80,11.1,3,0,no
57,no,no,0,202.0,100,168.9,90,231.8,119,3.4,4,1,no
109,yes,no,0,186.5,106,190.3,103,168.5,128,10.5,6,2,no
147,yes,no,0,183.8,113,164.7,110,111.0,87,10.1,4,1,no
120,no,yes,40,128.1,99,247.7,78,199.7,121,15.6,3,0,no
158,no,no,0,155.9,123,224.2,112,221.0,116,8.6,8,2,no
66,no,no,0,239.6,120,230.3,110,153.0,82,8.6,3,1,no
66,no,no,0,205.1,102,232.7,109,259.9,95,9.2,6,2,no
108,no,no,0,221.8,105,108.2,107,207.1,87,12.1,3,2,no
148,no,yes,26,244.9,150,118.0,138,236.0,91,15.2,4,2,no
59,no,yes,46,200.1,44,126.0,78,146.3,123,10.6,5,1,no
81,no,no,0,203.5,89,289.6,69,212.9,71,8.7,3,3,no
55,yes,no,0,269.6,121,171.7,91,219.0,98,8.2,6,1,no
132,no,no,0,126.8,83,243.2,97,223.4,106,7.1,5,3,no
96,no,no,0,182.6,75,188.6,67,137.7,81,9.5,3,5,yes
86,no,yes,30,99.9,84,263.5,125,254.7,90,9.8,7,2,no
158,no,no,0,202.0,126,163.5,86,195.4,84,10.4,6,1,no
90,no,yes,22,187.9,121,209.9,101,256.7,102,10.4,5,2,no
177,no,no,0,227.8,81,161.8,97,217.0,106,8.0,5,1,no
87,no,no,0,58.0,125,67.5,116,185.9,136,11.5,3,0,no
83,no,no,0,208.9,71,214.8,92,247.9,108,13.0,5,1,no
63,no,no,0,58.9,125,169.6,59,211.4,88,9.4,3,1,no
88,no,no,0,215.6,115,216.2,85,171.3,65,11.8,1,3,no
60,no,no,0,230.7,66,165.4,65,309.1,139,13.3,10,1,no
116,no,yes,35,118.0,103,167.2,106,205.7,102,11.8,2,2,no
64,no,no,0,162.6,83,152.3,109,57.5,122,14.2,3,1,no
16,no,no,0,153.2,65,229.7,90,148.2,94,10.7,8,1,no
85,no,no,0,211.5,100,184.6,88,164.3,131,13.3,4,2,no
90,no,no,0,179.2,77,210.7,99,276.9,58,9.2,6,2,no
93,no,yes,21,117.9,131,164.5,115,217.0,86,9.8,3,1,no
52,no,no,0,217.0,104,152.3,83,134.3,109,11.8,4,2,no
48,no,no,0,190.4,92,317.5,85,133.4,113,8.3,4,2,no
125,yes,no,0,298.4,78,270.5,142,107.3,84,12.2,2,0,yes
116,no,no,0,197.9,84,168.1,113,239.8,145,12.0,6,1,no
97,no,no,0,276.1,82,201.1,106,231.3,73,8.9,4,0,yes
92,no,no,0,208.0,125,198.9,76,76.4,97,8.6,6,0,no
117,yes,no,0,158.1,101,315.1,96,176.1,108,13.9,2,3,yes
48,no,yes,37,138.3,81,187.6,74,158.0,113,11.6,1,2,no
44,no,no,0,288.8,86,175.9,87,215.4,106,9.5,2,0,yes
64,yes,no,0,236.2,77,218.6,85,194.1,97,13.2,2,2,yes
73,no,no,0,184.7,109,161.3,108,148.8,103,11.3,4,2,no
85,no,no,0,195.7,104,182.9,121,324.7,110,8.6,9,0,no
99,no,no,0,145.6,102,230.9,87,181.5,86,11.4,7,1,no
103,no,no,0,170.6,79,144.8,126,193.6,102,6.0,3,0,no
103,no,yes,40,164.5,95,228.7,82,194.7,97,7.4,1,4,no
131,no,yes,33,177.1,100,194.0,85,253.4,124,5.2,5,1,no
99,no,yes,31,244.1,71,203.4,58,234.0,115,7.7,4,3,no
